Rank,Title,Year,Duration,Genre,Image
75,Old Boy,2003,2 h.,"Drame, Thriller, Film noir",https://media.senscritique.com/media/000015162373/300/old_boy.jpg
76,Casablanca,1942,1 h 42 min.,"Drame, Romance, Guerre",https://media.senscritique.com/media/000013843046/300/casablanca.jpg
77,American Beauty,1999,2 h 02 min.,Drame,https://media.senscritique.com/media/000012536800/300/american_beauty.jpg
78,Il était une fois en Amérique,1984,3 h 49 min.,"Drame, Gangster",https://media.senscritique.com/media/000020028882/300/il_etait_une_fois_en_amerique.jpg
79,Les Sept Samouraïs,1954,3 h 27 min.,"Arts martiaux, Aventure, Drame",https://media.senscritique.com/media/000022149873/300/les_sept_samourais.jpg
80,Le Bateau,1981,2 h 29 min.,"Aventure, Drame, Thriller",https://media.senscritique.com/media/000019826318/300/le_bateau.jpg
81,Lost in Translation,2003,1 h 41 min.,"Drame, Comédie romantique",https://media.senscritique.com/media/000006098072/300/lost_in_translation.jpg
82,Braveheart,1995,2 h 57 min.,"Biopic, Drame, Historique",https://media.senscritique.com/media/000012318304/300/braveheart.jpg
83,Sueurs froides,1958,2 h 08 min.,"Romance, Thriller, Film noir",https://media.senscritique.com/media/000004888043/300/sueurs_froides.jpg
84,Rain Man,1988,2 h 13 min.,"Comédie dramatique, Road movie",https://media.senscritique.com/media/000019034934/300/rain_man.jpg
85,Le Voyage de Chihiro,2001,2 h 05 min.,"Animation, Aventure, Fantasy",https://media.senscritique.com/media/000012539796/300/le_voyage_de_chihiro.jpg
86,Reservoir Dogs,1992,1 h 39 min.,Gangster,https://media.senscritique.com/media/000013405135/300/reservoir_dogs.png
87,Amadeus,1984,2 h 40 min.,"Biopic, Drame",https://media.senscritique.com/media/000017376446/300/amadeus.jpg
88,M le maudit,1931,1 h 57 min.,"Policier, Drame, Thriller",https://media.senscritique.com/media/000015265846/300/m_le_maudit.jpg
89,Requiem for a Dream,2000,1 h 42 min.,Drame,https://media.senscritique.com/media/000004889740/300/requiem_for_a_dream.jpg
90,Orange mécanique,1971,2 h 16 min.,"Drame, Science-fiction",https://media.senscritique.com/media/000012241934/300/orange_mecanique.jpg
91,Elling,2002,1 h 29 min.,"Comédie, Drame",https://media.senscritique.com/media/000007121897/300/elling.jpg
92,Citizen Kane,1941,1 h 59 min.,Drame,https://media.senscritique.com/media/000017363577/300/citizen_kane.jpg
93,2001 : L'Odyssée de l'espace,1968,2 h 40 min.,"Aventure, Science-fiction",https://media.senscritique.com/media/000019230851/300/2001_l_odyssee_de_l_espace.jpg
94,Sixième Sens,1999,1 h 47 min.,"Drame, Thriller, Fantastique",https://media.senscritique.com/media/000004017482/300/sixieme_sens.jpg
95,Eternal Sunshine of the Spotless Mind,2004,1 h 48 min.,"Drame, Romance, Science-fiction",https://media.senscritique.com/media/000012223508/300/eternal_sunshine_of_the_spotless_mind.jpg
96,Lawrence d'Arabie,1962,3 h 36 min.,"Aventure, Biopic, Drame",https://media.senscritique.com/media/000018396964/300/lawrence_d_arabie.jpg
97,Toy Story,1995,1 h 21 min.,"Comédie, Animation",https://media.senscritique.com/media/000016890492/300/toy_story.jpg
98,Toy Story 2,1999,1 h 32 min.,"Aventure, Comédie, Animation",https://media.senscritique.com/media/000004766925/300/toy_story_2.jpg
99,Toy Story 3,2010,1 h 43 min.,"Aventure, Comédie, Animation",https://media.senscritique.com/media/000005726087/300/toy_story_3.jpg
100,Chantons sous la pluie,1952,1 h 43 min.,"Comédie, Comédie musicale, Romance",https://media.senscritique.com/media/000015156712/300/chantons_sous_la_pluie.jpg
101,Inglourious Basterds,2009,2 h 33 min.,"Drame, Guerre",https://media.senscritique.com/media/000019716225/300/inglourious_basterds.jpg
102,Le Fabuleux Destin d'Amélie Poulain,2001,2 h 02 min.,Comédie romantique,https://media.senscritique.com/media/000004677042/300/le_fabuleux_destin_d_amelie_poulain.jpg
103,Green Book - Sur les routes du Sud,2018,2 h 10 min.,"Drame, Biopic, Road movie",https://media.senscritique.com/media/000018240638/300/green_book_sur_les_routes_du_sud.jpg
104,Taxi Driver,1976,1 h 53 min.,"Drame, Policier",https://media.senscritique.com/media/000020193007/300/taxi_driver.jpg
105,Full Metal Jacket,1987,1 h 56 min.,"Drame, Guerre",https://media.senscritique.com/media/000010112905/300/full_metal_jacket.jpg
106,Will Hunting,1997,2 h 06 min.,Drame,https://media.senscritique.com/media/000007075100/300/will_hunting.jpg
107,Le Voleur de bicyclette,1948,1 h 29 min.,Drame,https://media.senscritique.com/media/000019170907/300/le_voleur_de_bicyclette.jpg
108,Du silence et des ombres,1962,2 h 09 min.,Drame,https://media.senscritique.com/media/000014799038/300/du_silence_et_des_ombres.jpg
109,Le Kid,1921,52 min.,"Comédie dramatique, Muet",https://media.senscritique.com/media/000019176617/300/le_kid.jpg
110,Joker,2019,2 h 02 min.,"Policier, Drame, Thriller",https://media.senscritique.com/media/000018727645/300/joker.jpg
111,Joker - Folie à deux,2024,2 h 18 min.,"Comédie musicale, Drame, Policier",https://media.senscritique.com/media/000022018656/300/joker_folie_a_deux.jpg
112,La Chasse,2012,1 h 55 min.,Drame,https://media.senscritique.com/media/000006199430/300/la_chasse.jpg
113,Snatch - Tu braques ou tu raques,2000,1 h 44 min.,"Gangster, Comédie",https://media.senscritique.com/media/000013925761/300/snatch_tu_braques_ou_tu_raques.jpg
114,Scarface,1983,2 h 50 min.,"Drame, Gangster",https://media.senscritique.com/media/000007796731/300/scarface.jpg
115,...Et pour quelques dollars de plus,1965,2 h 12 min.,Western,https://media.senscritique.com/media/000008032088/300/et_pour_quelques_dollars_de_plus.jpg
116,La Garçonnière,1960,2 h 05 min.,"Comédie, Drame, Romance",https://media.senscritique.com/media/000004889290/300/la_garconniere.jpg
117,Metropolis,1927,2 h 25 min.,"Muet, Drame, Science-fiction",https://media.senscritique.com/media/000007863804/300/metropolis.jpg
118,Monty Python - Sacré Graal !,1975,1 h 31 min.,"Aventure, Comédie, Fantastique",https://media.senscritique.com/media/000015939129/300/monty_python_sacre_graal.jpg
119,L.A. Confidential,1997,2 h 13 min.,"Policier, Drame, Thriller",https://media.senscritique.com/media/000017513360/300/l_a_confidential.jpg
120,1917,2019,1 h 59 min.,"Drame, Guerre",https://media.senscritique.com/media/000019142368/300/1917.jpg
121,Danse avec les loups,1990,3 h 01 min.,"Aventure, Drame, Western",https://media.senscritique.com/media/000020843297/300/danse_avec_les_loups.png
122,Là-haut,2009,1 h 36 min.,"Animation, Aventure, Drame",https://media.senscritique.com/media/000004878312/300/la_haut.jpg
123,Rashōmon,1950,1 h 28 min.,"Policier, Drame",https://media.senscritique.com/media/000007639595/300/rashomon.jpg
124,Cinema Paradiso,1988,2 h 35 min.,Drame,https://media.senscritique.com/media/000016217666/300/cinema_paradiso.jpg
125,La Route,2009,1 h 51 min.,"Drame, Road movie",https://media.senscritique.com/media/000019716238/300/la_route.jpg
126,Certains l'aiment chaud !,1959,2 h 01 min.,"Comédie, Romance, Gangster",https://media.senscritique.com/media/000019167637/300/certains_l_aiment_chaud.jpg
127,Le Garde du corps,1961,1 h 50 min.,"Arts martiaux, Aventure, Drame",https://media.senscritique.com/media/000016648346/300/le_garde_du_corps.jpg
128,La Chute,2004,2 h 36 min.,"Biopic, Drame, Historique",https://media.senscritique.com/media/000007752577/300/la_chute.jpg
129,Impitoyable,1992,2 h 11 min.,Western,https://media.senscritique.com/media/000012260893/300/impitoyable.jpg
130,Piège de cristal,1988,2 h 11 min.,"Action, Thriller",https://media.senscritique.com/media/000012315612/300/piege_de_cristal.jpg
131,58 minutes pour vivre,1990,2 h 04 min.,"Action, Thriller",https://media.senscritique.com/media/000008623924/300/58_minutes_pour_vivre.png
132,Une journée en enfer,1995,2 h 11 min.,"Action, Policier, Thriller",https://media.senscritique.com/media/000019229515/300/une_journee_en_enfer.jpg
133,Heat,1995,2 h 50 min.,"Policier, Drame, Thriller",https://media.senscritique.com/media/000007856732/300/heat.jpg
134,Incendies,2010,2 h 11 min.,Drame,https://media.senscritique.com/media/000004677112/300/incendies.jpg
135,Happiness Therapy,2012,2 h 02 min.,"Comédie dramatique, Comédie romantique",https://media.senscritique.com/media/000004255469/300/happiness_therapy.jpg
136,Vivre,1952,2 h 23 min.,Drame,https://media.senscritique.com/media/000019848198/300/vivre.jpg
137,Soul,2020,1 h 40 min.,"Animation, Aventure, Comédie",https://media.senscritique.com/media/000019769926/300/soul.jpg
138,Raging Bull,1980,2 h 09 min.,"Biopic, Drame, Sport",https://media.senscritique.com/media/000012223995/300/raging_bull.jpg
139,The Irishman,2019,3 h 29 min.,"Drame, Gangster, Policier",https://media.senscritique.com/media/000021142536/300/the_irishman.png
140,Les Enfants du ciel,1997,1 h 30 min.,Comédie dramatique,https://media.senscritique.com/media/000011042957/300/les_enfants_du_ciel.jpg
141,Le Labyrinthe de Pan,2006,1 h 58 min.,"Drame, Fantastique, Épouvante-Horreur",https://media.senscritique.com/media/000000116449/300/le_labyrinthe_de_pan.jpg
142,Chinatown,1974,2 h 10 min.,Film noir,https://media.senscritique.com/media/000010819307/300/chinatown.jpg
143,Mon voisin Totoro,1988,1 h 26 min.,"Animation, Fantastique",https://media.senscritique.com/media/000015766073/300/mon_voisin_totoro.jpg
144,Le Château ambulant,2004,1 h 59 min.,"Animation, Aventure, Fantasy",https://media.senscritique.com/media/000017588583/300/le_chateau_ambulant.jpg
145,Ran,1985,2 h 42 min.,"Drame, Historique",https://media.senscritique.com/media/000013808826/300/ran.png
146,Le Troisième homme,1949,1 h 44 min.,"Thriller, Drame, Film noir",https://media.senscritique.com/media/000011726113/300/le_troisieme_homme.jpg
147,Jugement à Nuremberg,1961,3 h 06 min.,"Drame, Historique, Guerre",https://media.senscritique.com/media/000016132163/300/jugement_a_nuremberg.jpg
148,Mon père et mon fils,2005,1 h 48 min.,Comédie dramatique,https://media.senscritique.com/media/000018370716/300/mon_pere_et_mon_fils.jpg
149,Dans ses yeux,2009,2 h 09 min.,"Drame, Policier",https://media.senscritique.com/media/000000085100/300/dans_ses_yeux.jpg
150,La Mort aux trousses,1959,2 h 16 min.,"Action, Aventure, Thriller",https://media.senscritique.com/media/000016132379/300/la_mort_aux_trousses.jpg
151,La Ruée vers l'or,1925,1 h 35 min.,"Muet, Aventure, Comédie dramatique",https://media.senscritique.com/media/000016574975/300/la_ruee_vers_l_or.jpg
152,Un homme d'exception,2001,2 h 15 min.,"Biopic, Drame",https://media.senscritique.com/media/000020841679/300/un_homme_d_exception.png
